"","start","end","survey_type","survey_id","survey_version","country","community","sex","gear_handline","gear_spear","gear_traps","gear_gill_net","gear_mobile_net","gear_stationary_line","gear_other","other_gear","tech_smartphone","tech_maps","tech_socialmedia","tech_other","tech_no_tech","other_tech","fishtech_vhf","fishtech_fishfinder","fishtech_survcam","fishtech_catchapp","fishtech_vesseltrack","fishtech_gps","fishtech_other","fishtech_none","other_fishtech","text_vms","choice","package_nopackage","wtp_1","wtp_2","wtp_3","wtp_4","wtr_1","wtr_2","wtr_3","wtr_4","design_a","design_b","design_c","design_d","design_e","design_f","design_g","design_h","design_i","fraction_personal","fraction_neighbor","fraction_local_trade","fraction_export","fraction_other","other_fraction","mpa","rank_one","rank_two","rank_three","rank_four","age","years_fishing","education","other_education","income","income_fishing","income_expenses"
"57",2019-07-04 04:06:40,2019-07-04 04:27:27,"D",3035,3,"IND","MAK","M",0,0,0,0,1,0,0,"Liftnet (Jaring angkat)",1,0,0,0,0,,1,1,0,0,1,1,0,0,"Gps",,2,0,,,,,"n","n","n","n",0,1,1,1,0,0,0,0,0,0,0,100,0,0,,"n","pollution","weather","iuu","corruption",32,22,"primary",,3e+06,100,10
"58",2019-07-04 04:46:14,2019-07-04 05:07:37,"D",3036,3,"IND","MAK","M",0,0,1,0,0,0,0,,1,1,0,0,0,,1,1,0,0,1,1,0,0,"GPS garmin 10, Solar panel",,2,1,"y","y","n",,,,,,0,0,1,1,1,0,0,1,0,0,0,100,0,0,,"n","iuu","weather","pollution","corruption",39,22,"primary",,2e+07,100,40
"59",2019-07-04 06:28:05,2019-07-04 06:35:22,"D",3037,5,"IND","MAK","M",0,0,1,0,0,0,0,"trap (Bubu)",1,1,0,0,0,,1,1,0,0,1,1,0,0,"GPS garmin",,2,1,"y","y","n",,,,,,0,0,1,1,1,0,0,0,0,0,0,100,0,0,,"n","weather","iuu","pollution","corruption",40,21,"primary",,8e+06,100,15
"60",2019-07-04 06:37:54,2019-07-04 06:44:48,"D",3038,6,"IND","MAK","M",0,0,0,0,1,0,1,"pullnet (Jaring tarik)",1,0,0,0,0,,0,0,0,0,0,0,0,1,,,2,0,,,,,"n","n","n","n",0,0,1,0,0,0,0,0,0,0,0,100,0,0,,"n","pollution","weather","iuu","corruption",35,20,"primary",,2e+06,100,10
"61",2019-07-04 06:45:43,2019-07-04 06:52:45,"D",3039,7,"IND","MAK","M",0,0,0,0,1,0,0,"Purse seine",1,0,0,0,0,,0,0,0,0,0,0,0,1,,,1,0,,,,,"n","n","n","n",0,1,1,0,1,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",40,25,"primary",,2e+06,100,10
"62",2019-07-04 07:12:10,2019-07-04 07:21:54,"D",3040,8,"IND","MAK","M",0,0,0,0,1,0,1,"pullnet (Jaring tarik)",1,0,0,0,0,,0,0,0,0,0,0,0,1,,,2,0,,,,,"n","n","n","n",0,0,1,0,0,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",39,25,"primary",,4e+06,100,20
"63",2019-07-04 07:30:55,2019-07-04 07:43:09,"D",3041,9,"IND","MAK","M",0,0,0,0,1,0,0,"Purse seine",1,0,0,0,0,,0,0,0,0,0,0,0,1,,,1,1,"y","n",,,,,,,0,1,1,1,1,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",40,25,"primary",,2500000,100,20
"64",2019-07-04 07:44:49,2019-07-04 07:58:09,"D",3042,10,"IND","MAK","M",0,0,0,0,1,0,0,"Purse seine",1,0,0,0,0,,1,1,0,0,1,1,0,0,"GPS garmin 10",,2,1,"y","y","n",,,,,,0,1,1,1,1,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",33,20,"secondary",,3e+06,100,20
"65",2019-07-04 07:58:42,2019-07-04 08:14:28,"D",3043,11,"IND","MAK","M",0,0,0,0,1,0,0,"Purse seine",1,0,0,0,0,,0,0,0,0,0,0,0,1,,,1,1,"y","n",,,,,,,0,1,1,0,1,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",38,25,"primary",,2e+06,100,15
"66",2019-07-04 08:15:24,2019-07-05 03:20:51,"D",3044,12,"IND","MAK","M",0,0,0,0,1,0,0,"Purse seine",1,0,0,0,0,,0,0,0,0,0,0,0,1,,,1,1,"y","n",,,,,,,0,1,1,0,1,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",38,20,"primary",,2e+06,100,10
